dft,model
-4.76886533,-4.768260956
-4.619872121,-4.619983673
-4.746929475,-4.746813297
-4.182759681,-4.183217525
-4.938315823,-4.950158596
-4.38523909,-4.390272141
-4.917028126,-4.917303085
-4.910619746,-4.907215118
-4.555887841,-4.56919384
-4.672349157,-4.666831017
-4.769166813,-4.766549587
-4.416135888,-4.420698643
-5.169376773,-5.175712109
-4.782106009,-4.781152248
-4.70972613,-4.721525669
-4.486148889,-4.48383379
-4.684145473,-4.688393116
-4.757157933,-4.757619381
-4.656028156,-4.655789852
-4.706442929,-4.700874805
-3.528152764,-3.524838924
-4.490929086,-4.496130466
-4.478818262,-4.491568089
-5.117586718,-5.122922421
-4.840335811,-4.841114044
-4.092109982,-4.09891367
-4.65573522,-4.654252529
-4.779535323,-4.779396534
-5.22987854,-5.226490974
-4.600287374,-4.607158661
-4.772084586,-4.772294998
-3.571261342,-3.568927526
-4.606852779,-4.605296612
-4.784766339,-4.785127163
-4.776428215,-4.777608871
-4.687500758,-4.694869518
-4.898934914,-4.904277325
-4.675242742,-4.673632622
-4.435244734,-4.432621479
-5.712082662,-5.718533993
-5.029768101,-5.030087471
-4.597304291,-4.596322536
-4.764589658,-4.764500618
-4.678153684,-4.676589012
-5.10562948,-5.109698296
-4.378849229,-4.386524677
-4.483087122,-4.488070488
-4.551123365,-4.552856922
-4.777848706,-4.777383327
-3.815546449,-3.816958427
-3.474498871,-3.478412628
-4.780216442,-4.77960968
-3.850235849,-3.855984449
-4.763563941,-4.762872219
-5.54997912,-5.542386532
-5.840620221,-5.833904743
-4.769498171,-4.771409512
-5.057744778,-5.078036308
-3.850750088,-3.851530552
-4.515070752,-4.517000198
-4.646505617,-4.646490574
-4.778968836,-4.777025223
-4.551637186,-4.556745052
-5.111681479,-5.122963428
-4.935546278,-4.933988094
-5.77042881,-5.767725468
-4.572081051,-4.580269337
-4.65659074,-4.665417194
-3.76446992,-3.766878128
-4.986532941,-4.988227367
-4.772145188,-4.770950317
-4.65615787,-4.656680107
-3.637278528,-3.635686874
-4.525521921,-4.527440071
-4.775472266,-4.770276546
-4.88235611,-4.885096073
-4.609713591,-4.616011143
-4.778683941,-4.777287006
-3.721036484,-3.721035719
-4.763930103,-4.762007236
-4.600857077,-4.607036114
-4.102895926,-4.104318619
-4.303160547,-4.290160179
-5.001588669,-5.011571407
-4.422661925,-4.429461956
-4.154301629,-4.160079479
-4.486741271,-4.492243767
-4.785111621,-4.786518097
-4.613858746,-4.621323109
-4.759940464,-4.759281635
-4.676238238,-4.676681995
-4.254939869,-4.255912781
-4.680270683,-4.673622608
-4.958666985,-4.957849979
-4.590885766,-4.597411633
-4.871810745,-4.877511501
-4.541282447,-4.553520679
-4.709205127,-4.715112209
-4.663313964,-4.665355682
-4.688746416,-4.68368578
-4.509686142,-4.509005547
-4.983197612,-4.980129242
-4.74982166,-4.746884823
-4.601856588,-4.604952335
-4.457821055,-4.468636036
-4.598430992,-4.591402531
-5.200501535,-5.210181713
-4.947216888,-4.951140881
-4.625683354,-4.631293774
-4.541118098,-4.542440891
-4.977495491,-4.976515293
-4.745720345,-4.744306087
-4.58993907,-4.592533588
-4.773193761,-4.773413181
-4.992405105,-5.003175259
-4.195110832,-4.194756031
-4.76125336,-4.76047802
-4.6454897,-4.644656658
-4.714951008,-4.719566822
-3.861120175,-3.865864277
-4.775842337,-4.775002003
-4.706553542,-4.707863808
-4.625554446,-4.633104324
-5.923620459,-5.931451797
-5.654248493,-5.651941299
-4.598774914,-4.603761196
-4.770405938,-4.76926899
-4.603260815,-4.609400749
-4.608743272,-4.615636826
-4.481317883,-4.482173443
-4.760786176,-4.760476589
-5.483360799,-5.480026245
-4.644231911,-4.651559353
-4.808911786,-4.807384968
-4.561508578,-4.569415092
-4.404038453,-4.410072803
-4.775110234,-4.77294302
-4.702422531,-4.706195831
-4.669255029,-4.682649136
-4.274907424,-4.282901287
-5.028964788,-5.028289318
-3.825984602,-3.826963186
-5.303775649,-5.313969612
-5.325417975,-5.330898762
-4.768125275,-4.768005371
-4.657441961,-4.662265301
-4.576107533,-4.588057518
-4.4314224,-4.442966461
-5.036018994,-5.040503025
-4.599684495,-4.60568285
-4.677217216,-4.674133778
-4.471720225,-4.466531277
-4.557999541,-4.550122261
-4.969236999,-4.975505352
-4.764292441,-4.764699459
-5.081556399,-5.093531132
-5.353037992,-5.355393887
-3.255737877,-3.254150391
-4.45112712,-4.455044746
-4.028133938,-4.032690525
-5.954958201,-5.959165573
-4.170624796,-4.170403481
-4.972354351,-4.970149517
-4.85681634,-4.86382246
-4.763210687,-4.761619091
-4.640297389,-4.650571346
-5.152517094,-5.15246439
-4.687933709,-4.685451984
-5.38451992,-5.395738125
-4.611595017,-4.614952564
-3.882486908,-3.882530212
-5.041160809,-5.041855335
-5.118338476,-5.134868145
-4.904638301,-4.896978378
-4.647547025,-4.645224094
-4.765195881,-4.764034271
-5.062754155,-5.063336849
-4.724885502,-4.750127316
-4.254778493,-4.253581524
-5.425918777,-5.426515579
-4.241182658,-4.239393711
-4.645859938,-4.651032448
-4.96387164,-4.980593204
-4.559294875,-4.56566
-4.832550263,-4.827670574
-3.863394414,-3.86198473
-4.930547816,-4.929189205
-4.330448297,-4.33476305
-4.442137412,-4.435541153
-5.746522376,-5.722074509
-4.692290701,-4.682096004
-4.907534305,-4.910781384
-4.767652128,-4.77861166
-5.149577001,-5.150176525
-4.765664887,-4.764732838
-4.648849254,-4.642871857
-4.588756046,-4.588941097
-5.081126655,-5.080648899
-4.357655867,-4.357945919
-5.150069937,-5.150653362
-4.972797642,-4.980772495
-4.641561403,-4.646807194
-4.971218957,-4.971945286
-4.646040336,-4.654045582
-4.376263105,-4.375695705
-4.428307242,-4.442705154
-3.158535494,-3.161364794
-4.572318449,-4.576234341
-4.586535828,-4.592541695
-5.079448202,-5.105401993
-5.06409811,-5.054838657
-4.450644323,-4.455374241
-5.561235853,-5.556273937
-4.757686858,-4.754970074
-4.55589786,-4.569440365
-4.64292183,-4.647182465
-3.581886873,-3.584510803
-4.67749818,-4.677564144
-4.626250334,-4.630818844
-5.36440129,-5.356959343
-4.762484363,-4.762773991
-4.300284662,-4.294275761
-4.801570182,-4.800991058
-4.761440968,-4.759359837
-5.039013021,-5.041242123
-4.736322415,-4.744525433
-4.997879328,-5.022325039
-4.622350367,-4.628756523
-4.672757952,-4.672788143
-4.435665695,-4.441562176
-4.067068688,-4.066518307
-5.725629199,-5.738018513
-4.718618147,-4.723386288
-4.971686301,-4.966229439
-4.293984724,-4.286654472
-4.786978103,-4.787616253
-4.09845562,-4.103694439
-4.676788044,-4.675768375
-5.700893958,-5.702454567
-4.905382546,-4.913152218
-4.5695802,-4.574309349
-4.346229475,-4.341234684
-4.37777219,-4.394579887
-4.735793391,-4.729034424
-4.682522261,-4.678674698
-5.509744898,-5.510750294
-4.681007578,-4.677085876
-4.13662241,-4.134795189
-5.440178256,-5.441130161
-4.777491555,-4.777853489
-4.61337501,-4.617768764
-5.738817781,-5.720683575
-4.782247046,-4.781360626
-4.701239832,-4.697546005
-4.647880098,-4.653777122
-4.969912671,-4.966173649
-5.726854267,-5.730579853
-4.770502728,-4.763664722
-5.081674807,-5.067146778
-5.488344652,-5.48445797
-3.36999659,-3.368837357
-3.376913001,-3.376436949
-4.567887778,-4.577961445
-4.495392425,-4.503347874
-6.069720343,-6.070394039
-4.723693069,-4.730221272
-4.65324357,-4.665530682
-4.887875953,-4.896791935
-5.14396888,-5.145345211
-4.794068047,-4.79315424
-4.420242436,-4.426641464
-4.760290605,-4.759609699
-5.147339155,-5.148766518
-4.605821136,-4.613696575
-4.767761398,-4.766504765
-4.347452121,-4.352341652
-4.764141831,-4.764635086
