index,DFT,TinNet
404,-3.3397696,-3.2750473
365,-4.2539043,-4.1947613
119,-1.9988656,-1.9796596
497,-2.3743715,-2.3464131
709,-1.9076567,-1.920845
519,-2.9523015,-2.8405383
665,-1.7907276,-1.8061723
243,-2.3881977,-2.4094868
298,-2.2264395,-2.218297
34,-1.8102506,-1.8339005
75,-2.1535316,-2.2364938
439,-4.3099947,-4.4225984
436,-3.5994377,-3.561237
288,-3.8462057,-3.7699642
193,-1.6486266,-1.6643504
544,-3.8521867,-3.7619092
620,-3.6339176,-3.6290526
738,-2.0097427,-1.983082
9,-2.3686385,-2.4014578
652,-3.1050026,-3.064152
305,-2.8049545,-2.8041089
484,-2.1177297,-2.1264625
236,-2.6948845,-2.660951
478,-4.1557026,-4.102517
583,-2.2993107,-2.299385
369,-2.8003786,-2.8240383
321,-2.4713066,-2.5645392
27,-1.5459297,-1.5449256
55,-2.0242915,-2.0323339
232,-1.6541597,-1.6572759
450,-1.8556737,-1.8584309
163,-4.6806664,-4.714679
686,-4.472965,-4.397475
420,-1.8859797,-1.9111392
424,-2.3034415,-2.354405
409,-3.4933085,-3.3945222
278,-3.3829556,-3.3523717
664,-2.7917466,-2.7786129
90,-1.5992626,-1.6190982
480,-1.8935376,-1.9251999
721,-2.7750497,-2.7892663
132,-1.8646746,-1.8820014
455,-4.110573,-4.0475035
337,-3.3638227,-3.3697495
617,-2.4684486,-2.463268
679,-2.3734016,-2.366874
546,-2.3457856,-2.387696
548,-2.3592966,-2.4312801
414,-4.1439686,-4.0914035
406,-2.3495865,-2.3773
196,-4.1556334,-4.1398053
1,-2.9998016,-3.0363262
345,-2.3846116,-2.3711522
177,-1.9783735,-2.0087125
635,-2.4500306,-2.5081832
7,-4.124202,-4.103709
693,-2.4512305,-2.4878685
429,-2.2902045,-2.314892
624,-2.3179166,-2.3498163
198,-1.9674096,-2.0378554
65,-3.2273817,-3.2453234
170,-1.9990387,-2.0090687
747,-3.3861036,-3.3287382
433,-2.0254467,-2.033515
694,-1.7036486,-1.7141938
280,-3.2820055,-3.2244277
560,-3.0854247,-3.0936804
605,-1.9980075,-2.0331614
171,-3.6161265,-3.6223495
648,-3.3080087,-3.255659
565,-1.4186296,-1.4370121
187,-2.0015996,-2.0018392
392,-2.8970406,-2.8528495
370,-5.316354,-5.2866945
700,-2.9124527,-2.9616606
73,-3.0363846,-3.0274696
263,-2.9756846,-2.9469965
534,-1.7488726,-1.7160062
417,-2.0357056,-2.0304418
67,-1.9050117,-1.9070256
212,-2.3716667,-2.3890254
207,-4.0196457,-3.9395468
16,-3.7566636,-3.7259579
644,-2.5022945,-2.5870426
456,-2.0042946,-1.9607127
501,-1.9669746,-1.9781187
643,-3.8897846,-3.849586
512,-2.9366906,-2.9403977
640,-2.4984636,-2.53137
122,-1.9536996,-1.9862651
149,-3.0378995,-3.0445535
231,-2.6116517,-2.592461
716,-2.2621226,-2.2906315
343,-2.2737896,-2.2079685
487,-2.2723527,-2.2950711
411,-4.564418,-4.46288
634,-3.5708916,-3.5144026
100,-1.8682237,-1.844296
552,-3.1203616,-3.0802665
507,-2.3777306,-2.4155848
642,-2.0490518,-2.0612872
746,-2.3199997,-2.3344042
108,-1.9506286,-1.9708623
667,-2.5491166,-2.5557222
730,-2.3800557,-2.4260483
341,-2.6340086,-2.6559033
698,-1.3582326,-1.3496995
397,-1.6602886,-1.6759841
630,-1.8957037,-1.898026
265,-2.5240147,-2.5723593
719,-2.4212885,-2.3236804
489,-2.4257135,-2.3987396
145,-3.7768955,-3.741068
691,-2.5327907,-2.5758224
197,-4.3079047,-4.24353
529,-2.5666976,-2.5761054
229,-3.2313535,-3.184433
609,-3.0666986,-3.0389745
650,-2.0469007,-2.075732
744,-2.6327257,-2.6612768
518,-2.8753686,-2.903362
216,-3.4453897,-3.4111304
176,-3.5507545,-3.5079043
740,-4.3546267,-4.26829
627,-1.8171517,-1.8213027
201,-2.3519797,-2.2392814
515,-1.7403187,-1.7680843
372,-2.6031806,-2.5474625
454,-2.4461718,-2.4653146
38,-3.2968786,-3.2768064
586,-2.2263496,-2.2390826
566,-4.1198845,-4.081521
410,-2.5411017,-2.6066387
363,-2.4405086,-2.4330354
168,-2.1727717,-2.1314306
663,-2.6418126,-2.6223707
359,-3.9942474,-3.9263818
322,-3.4994135,-3.4747381
112,-2.8242617,-2.8423142
