idx,avg
205,-2.175841696
206,-2.497457621
207,-2.437406292
208,-2.242526606
209,-2.44591082
210,-2.087025459
211,-2.135422566
212,-2.431951216
213,-2.171757072
214,-2.485357425
215,-2.462403289
216,-2.189389345
217,-2.135965249
218,-2.515390613
219,-2.476536978
220,-2.123488539
221,-2.208364239
222,-2.458813285
223,-2.307852383
224,-2.675260148
225,-2.21702602
226,-2.121211176
227,-2.16555424
228,-2.452272639
229,-2.213639202
230,-2.473488953
231,-2.241495238
232,-2.214933577
233,-2.517077522
234,-2.531594801
235,-2.488570391
236,-2.282538647
237,-2.505575522
238,-2.232953407
239,-2.262991126
240,-2.226253248
241,-2.471048393
242,-2.461746216
243,-2.500925983
244,-2.268076942
245,-2.498435446
246,-2.15151379
247,-2.479259179
248,-2.454293543
249,-2.466378648
250,-2.465196628
251,-2.205892589
252,-2.197965606
253,-2.473280822
254,-2.5033689
255,-2.284523136
256,-2.23245453
257,-2.198967239
258,-2.150273692
259,-2.252548677
260,-2.297879965
261,-2.411165065
262,-2.244238761
263,-2.157515028
264,-2.24986111
265,-2.199904544
266,-2.454859504
267,-2.451273619
268,-2.115955888
269,-2.41578493
270,-2.119189184
271,-2.156353121
272,-2.515863302
273,-2.471147003
274,-2.48552122
275,-2.297875617
276,-2.15789975
277,-2.308259348
278,-2.535991546
279,-2.177782656
280,-2.277174769
281,-2.520662203
282,-2.526445272
283,-2.504547243
284,-2.304281055
285,-2.502413353
286,-2.463350829
287,-2.200824191
288,-2.479711349
289,-2.468969711
290,-2.464470858
291,-2.476346595
292,-2.456797178
293,-2.219700548
294,-2.473922884
295,-2.341085552
296,-2.258625897
297,-2.188188919
298,-2.186149126
299,-2.219406152
300,-2.189092916
301,-2.073390107
302,-2.136694473
303,-2.120293239
304,-2.494580342
305,-2.602303012
306,-2.193172092
307,-2.498997572
308,-2.454349994
309,-2.122705713
310,-2.157356661
311,-2.413662315
312,-2.089832935
313,-2.464609286
314,-2.179734269
315,-2.328803921
316,-2.22784983
317,-2.504071942
318,-2.563495686
319,-2.160294307
320,-2.437838711
321,-2.1730314
322,-2.452581138
323,-2.228857126
324,-2.260381105
325,-2.47373537
326,-2.498094631
327,-2.466589252
328,-2.125673362
329,-2.011878
330,-2.079780113
331,-2.082957489
332,-2.224555089
333,-2.471651981
334,-2.48356181
335,-2.120695288
336,-2.332453558
337,-2.413042977
338,-2.194567437
339,-2.085168837
340,-2.076570437
341,-2.554593577
342,-2.099579083
343,-2.489827385
344,-2.30290725
345,-2.325310131
346,-2.246272414
347,-2.481231917
348,-2.13149602
349,-2.444651965
350,-2.416549372
351,-2.075134535
352,-2.181751794
353,-2.208473278
354,-2.495112687
355,-2.473616981
356,-2.488633635
357,-2.278212199
358,-2.540925523
359,-2.217521476
360,-2.232508436
361,-2.39675386
362,-2.094411608
363,-2.414040966
364,-2.473438662
365,-2.218406268
366,-2.248957163
367,-2.355644459
368,-2.56325786
369,-2.535478992
370,-2.448822622
371,-2.536277674
372,-2.178030378
373,-2.208610298
374,-2.174730578
375,-2.187345568
376,-2.509842675
377,-2.57581628
378,-2.563450416
379,-2.29478418
380,-2.265692687
381,-2.434458181
382,-2.158783662
383,-2.479949263
384,-2.45641318
385,-2.171315862
386,-2.475345103
387,-2.323119961
388,-2.537180441
389,-2.497575968
390,-2.194772571
391,-2.043879533
392,-2.455953584
393,-2.243655844
394,-2.49688392
395,-2.183480542
396,-2.227048904
397,-2.238966915
398,-2.190167675
399,-2.152331769
400,-2.455208031
401,-2.227388661
402,-2.440126063
403,-2.274119273
404,-2.398407267
405,-2.057629454
406,-2.110523014
407,-2.472375224
408,-2.138231928
409,-2.217937176
410,-2.257055728
411,-2.160450846
412,-2.096878218
413,-2.450104391
414,-2.089809508
415,-2.065036038
416,-2.088530406
417,-2.454929712
418,-2.484504344
419,-2.206364483
420,-2.470058334
421,-2.183469162
422,-2.465099963
423,-2.10393484
424,-2.064646789
425,-2.087842989
426,-2.034637234
427,-2.108210439
428,-2.208758881
429,-2.47227853
430,-2.299322587
431,-2.506430976
432,-2.178253194
433,-2.415762905
434,-2.204906361
435,-2.443053428
436,-2.097439432
437,-2.044339116
438,-2.074640937
439,-2.2244437
440,-2.513317368
441,-2.316586201
442,-2.494084918
443,-2.282784189
444,-2.135787467
445,-2.440896175
446,-2.391250853
447,-2.048091139
448,-2.444643398
449,-2.197660144
450,-2.463474538
451,-2.49805035
452,-2.48007564
453,-2.495817837
454,-2.183639663
455,-2.09581981
456,-2.067818025
457,-2.277736474
458,-2.449105462
459,-2.485106829
460,-2.222332435
461,-2.500369834
462,-2.215528845
463,-2.302580089
464,-2.5434532
465,-2.520923433
466,-2.122940949
467,-2.099178221
468,-2.470371089
469,-2.19524722
470,-2.21083152
471,-2.199369795
472,-2.471272297
473,-2.465787333
474,-2.267208954
475,-2.469796428
476,-2.148088844
477,-2.2229367
478,-2.461349324
479,-2.216021967
480,-2.511871426
481,-2.478281999
482,-2.228083737
483,-2.577544012
484,-2.203457721
485,-2.494764069
486,-2.1572804
487,-2.412122355
488,-2.127960837
489,-2.170262413
490,-2.27733671
491,-2.478280916
492,-2.200014843
493,-2.402282719
494,-2.174740927
495,-2.413051006
496,-2.131030353
497,-2.136104246
498,-2.428914693
499,-2.444262208
500,-2.504082688
501,-2.225371837
502,-2.201546106
503,-2.051397882
504,-2.132266083
505,-2.111147292
506,-2.474781464
507,-2.178681405
508,-2.250751596
509,-2.491422392
510,-2.2405076
511,-2.114367357
512,-2.434318349
513,-2.067054936
514,-2.154237742
515,-2.613549053
516,-2.179565365
517,-2.412915701
518,-2.148876218
519,-2.21178337
520,-2.474521493
521,-2.218440851
522,-2.457000742
523,-2.176020806
524,-2.150625131
525,-2.212974898
526,-2.404698387
527,-2.117441828
528,-2.084027165
529,-2.468971495
530,-2.475950229
531,-2.195092733
532,-2.12273907
533,-2.441989695
534,-2.43131002
535,-2.065674075
